county,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
Fresno,2024-01-01,9.25,13.2,5.3,0.0,12.7
Fresno,2024-01-02,8.35,13.5,3.2,0.0,8.5
Fresno,2024-01-03,9.85,12.9,6.8,7.8,16.6
Fresno,2024-01-04,6.9,11.1,2.7,0.1,12.2
Fresno,2024-01-05,7.1,12.1,2.1,0.0,10.5
Fresno,2024-01-06,5.5,10.6,0.4,0.0,8.1
Fresno,2024-01-07,5.8,9.0,2.6,2.4,15.6
Fresno,2024-01-08,4.449999999999999,10.2,-1.3,0.0,10.3
Fresno,2024-01-09,4.8500000000000005,10.8,-1.1,0.0,9.0
Fresno,2024-01-10,7.55,11.2,3.9,0.0,13.0
Fresno,2024-01-11,6.550000000000001,9.9,3.2,6.1,21.7
Fresno,2024-01-12,4.55,10.2,-1.1,0.0,11.2
Fresno,2024-01-13,4.6,9.5,-0.3,1.8,9.2
Fresno,2024-01-14,8.6,14.6,2.6,0.0,7.7
Kern,2024-01-01,7.75,12.4,3.1,0.0,9.9
Kern,2024-01-02,8.049999999999999,14.2,1.9,0.0,7.8
Kern,2024-01-03,8.25,12.0,4.5,11.4,12.4
Kern,2024-01-04,6.949999999999999,9.1,4.8,4.5,9.0
Kern,2024-01-05,6.05,11.1,1.0,0.0,8.4
Kern,2024-01-06,5.55,12.1,-1.0,0.0,8.0
Kern,2024-01-07,6.5,10.2,2.8,8.6,15.1
Kern,2024-01-08,3.45,8.9,-2.0,0.0,8.6
Kern,2024-01-09,4.95,10.1,-0.2,0.0,8.7
Kern,2024-01-10,6.050000000000001,8.9,3.2,0.3,14.6
Kern,2024-01-11,5.85,8.7,3.0,4.3,18.6
Kern,2024-01-12,5.45,10.3,0.6,0.0,6.6
Kern,2024-01-13,6.25,12.2,0.3,0.0,9.7
Kern,2024-01-14,8.45,13.4,3.5,0.0,9.8
Kings,2024-01-01,3.25,5.7,0.8,0.0,4.7
Kings,2024-01-02,4.050000000000001,5.4,2.7,0.0,9.3
Kings,2024-01-03,2.0,4.3,-0.3,3.2,13.2
Kings,2024-01-04,1.0499999999999998,3.3,-1.2,0.6,15.8
Kings,2024-01-05,1.95,5.0,-1.1,0.0,17.4
Kings,2024-01-06,0.6,3.0,-1.8,0.0,13.0
Kings,2024-01-07,-2.6,1.3,-6.5,0.2,20.0
Kings,2024-01-08,-3.4,-0.3,-6.5,0.0,17.6
Kings,2024-01-09,0.7499999999999998,4.1,-2.6,0.0,6.6
Kings,2024-01-10,2.35,3.6,1.1,0.0,9.1
Kings,2024-01-11,-2.55,1.1,-6.2,0.8,15.5
Kings,2024-01-12,0.10000000000000009,3.2,-3.0,0.0,9.7
Kings,2024-01-13,3.05,5.0,1.1,0.0,9.0
Kings,2024-01-14,4.75,7.7,1.8,0.0,5.4
Madera,2024-01-01,6.3999999999999995,11.6,1.2,0.0,7.9
Madera,2024-01-02,7.4,13.0,1.8,0.0,7.2
Madera,2024-01-03,7.949999999999999,12.1,3.8,15.3,20.9
Madera,2024-01-04,3.85,8.4,-0.7,0.1,10.1
Madera,2024-01-05,5.0,9.8,0.2,0.0,10.1
Madera,2024-01-06,4.5,9.2,-0.2,0.1,9.5
Madera,2024-01-07,2.15,7.8,-3.5,9.1,14.0
Madera,2024-01-08,1.5,7.3,-4.3,0.0,11.3
Madera,2024-01-09,4.199999999999999,8.7,-0.3,0.0,10.3
Madera,2024-01-10,5.0,8.2,1.8,1.3,7.7
Madera,2024-01-11,3.75,7.1,0.4,19.2,11.9
Madera,2024-01-12,2.4,7.8,-3.0,0.0,7.2
Madera,2024-01-13,4.0,7.2,0.8,4.1,6.6
Madera,2024-01-14,9.2,13.3,5.1,1.8,8.9
Merced,2024-01-01,10.75,14.1,7.4,0.0,10.0
Merced,2024-01-02,9.5,14.4,4.6,0.0,11.3
Merced,2024-01-03,9.95,13.5,6.4,10.8,18.1
Merced,2024-01-04,8.7,13.2,4.2,0.0,12.9
Merced,2024-01-05,8.6,13.6,3.6,0.0,13.2
Merced,2024-01-06,7.75,12.8,2.7,0.0,10.5
Merced,2024-01-07,7.199999999999999,10.6,3.8,5.4,22.5
Merced,2024-01-08,5.4,10.4,0.4,0.0,19.2
Merced,2024-01-09,5.8500000000000005,11.4,0.3,0.0,9.2
Merced,2024-01-10,7.45,12.8,2.1,0.1,11.4
Merced,2024-01-11,8.0,11.9,4.1,2.6,19.1
Merced,2024-01-12,5.2,11.4,-1.0,0.0,8.3
Merced,2024-01-13,5.9,10.4,1.4,1.9,9.6
Merced,2024-01-14,10.7,15.6,5.8,1.0,12.7
San Joaquin,2024-01-01,10.95,14.6,7.3,0.0,9.1
San Joaquin,2024-01-02,11.0,14.8,7.2,0.0,17.6
San Joaquin,2024-01-03,10.2,14.1,6.3,18.1,23.3
San Joaquin,2024-01-04,9.35,13.6,5.1,0.0,13.0
San Joaquin,2024-01-05,9.55,14.4,4.7,0.0,15.5
San Joaquin,2024-01-06,8.65,13.8,3.5,5.3,17.2
San Joaquin,2024-01-07,6.300000000000001,10.4,2.2,1.3,18.4
San Joaquin,2024-01-08,6.05,11.1,1.0,0.0,15.0
San Joaquin,2024-01-09,7.3,10.5,4.1,0.6,16.8
San Joaquin,2024-01-10,6.9,10.5,3.3,2.0,15.6
San Joaquin,2024-01-11,6.4,10.8,2.0,0.2,22.7
San Joaquin,2024-01-12,6.0,11.1,0.9,0.0,11.0
San Joaquin,2024-01-13,7.05,10.6,3.5,4.3,18.4
San Joaquin,2024-01-14,11.35,14.7,8.0,10.2,23.0
Stanislaus,2024-01-01,11.55,14.7,8.4,0.0,13.5
Stanislaus,2024-01-02,10.45,14.8,6.1,0.0,15.3
Stanislaus,2024-01-03,10.05,13.8,6.3,19.6,16.5
Stanislaus,2024-01-04,9.7,13.6,5.8,0.0,15.4
Stanislaus,2024-01-05,8.75,13.7,3.8,0.0,17.1
Stanislaus,2024-01-06,8.25,13.0,3.5,0.8,12.6
Stanislaus,2024-01-07,6.9,10.3,3.5,7.0,20.9
Stanislaus,2024-01-08,5.550000000000001,10.3,0.8,0.0,19.2
Stanislaus,2024-01-09,6.4,10.1,2.7,0.3,11.9
Stanislaus,2024-01-10,6.699999999999999,11.2,2.2,1.1,13.2
Stanislaus,2024-01-11,6.9,10.8,3.0,3.1,21.1
Stanislaus,2024-01-12,5.3999999999999995,11.2,-0.4,0.0,9.2
Stanislaus,2024-01-13,6.1,9.9,2.3,3.7,12.4
Stanislaus,2024-01-14,11.100000000000001,15.3,6.9,6.5,16.8
Tulare,2024-01-01,10.1,12.6,7.6,0.0,6.8
Tulare,2024-01-02,11.2,14.5,7.9,0.0,4.3
Tulare,2024-01-03,8.1,11.7,4.5,14.6,13.5
Tulare,2024-01-04,4.800000000000001,7.4,2.2,0.2,8.4
Tulare,2024-01-05,7.25,10.4,4.1,0.2,6.6
Tulare,2024-01-06,8.6,11.4,5.8,0.0,3.7
Tulare,2024-01-07,4.5,8.4,0.6,5.8,11.9
Tulare,2024-01-08,2.3499999999999996,6.6,-1.9,0.0,10.6
Tulare,2024-01-09,6.05,9.1,3.0,0.0,5.8
Tulare,2024-01-10,5.6499999999999995,8.2,3.1,0.0,7.4
Tulare,2024-01-11,4.25,7.4,1.1,12.6,17.4
Tulare,2024-01-12,3.4499999999999997,7.8,-0.9,0.0,4.1
Tulare,2024-01-13,6.65,10.5,2.8,2.1,5.4
Tulare,2024-01-14,8.35,11.6,5.1,0.6,6.9
